,Country,Continent/Region,Year,Code,Expenditure,Regime
1,Afghanistan,Central Asia,1971,AFG,1.160359979,Closed Autocracy
2,Afghanistan,Central Asia,1972,AFG,1.11717999,Closed Autocracy
4,Afghanistan,Central Asia,1975,AFG,1.30332005,Closed Autocracy
5,Afghanistan,Central Asia,1979,AFG,1.73980999,Closed Autocracy
6,Afghanistan,Central Asia,1980,AFG,1.840929985,Closed Autocracy
7,Afghanistan,Central Asia,1981,AFG,1.909170032,Closed Autocracy
8,Afghanistan,Central Asia,1982,AFG,1.729979992,Closed Autocracy
46,Argentina,South America,1970,ARG,1.458089948,Closed Autocracy
47,Argentina,South America,1972,ARG,1.936200023,Closed Autocracy
51,Argentina,South America,1976,ARG,1.165639997,Closed Autocracy
52,Argentina,South America,1977,ARG,1.71984005,Closed Autocracy
53,Argentina,South America,1978,ARG,1.935549974,Closed Autocracy
54,Argentina,South America,1979,ARG,2.400279999,Closed Autocracy
55,Argentina,South America,1980,ARG,2.607150078,Closed Autocracy
56,Argentina,South America,1982,ARG,1.597869992,Closed Autocracy
3,Afghanistan,Central Asia,1973,AFG,1.427880049,Electoral Autocracy
9,Afghanistan,Central Asia,2010,AFG,3.479449987,Electoral Autocracy
10,Afghanistan,Central Asia,2011,AFG,3.462009907,Electoral Autocracy
11,Afghanistan,Central Asia,2012,AFG,2.604199886,Electoral Autocracy
12,Afghanistan,Central Asia,2013,AFG,3.454459906,Electoral Autocracy
13,Afghanistan,Central Asia,2014,AFG,3.695219994,Electoral Autocracy
14,Afghanistan,Central Asia,2015,AFG,3.255800009,Electoral Autocracy
15,Afghanistan,Central Asia,2016,AFG,4.228360176,Electoral Autocracy
16,Afghanistan,Central Asia,2017,AFG,4.058869839,Electoral Autocracy
85,Armenia,West Asia,1996,ARM,1.848430037,Electoral Autocracy
86,Armenia,West Asia,1999,ARM,2.235189915,Electoral Autocracy
87,Armenia,West Asia,2000,ARM,2.772730112,Electoral Autocracy
88,Armenia,West Asia,2001,ARM,2.469439983,Electoral Autocracy
89,Armenia,West Asia,2002,ARM,2.135040045,Electoral Autocracy
90,Armenia,West Asia,2003,ARM,2.145040035,Electoral Autocracy
91,Armenia,West Asia,2004,ARM,2.486730099,Electoral Autocracy
92,Armenia,West Asia,2005,ARM,2.712029934,Electoral Autocracy
17,Albania,South Europe,1994,ALB,3.44698,Electoral Autocracy
567,Chile,South America,1974,CHL,3.751209974,Closed Autocracy
568,Chile,South America,1975,CHL,3.5947299,Closed Autocracy
569,Chile,South America,1978,CHL,3.070450068,Closed Autocracy
570,Chile,South America,1979,CHL,3.4823699,Closed Autocracy
571,Chile,South America,1980,CHL,4.21999979,Closed Autocracy
572,Chile,South America,1981,CHL,4.914299965,Closed Autocracy
573,Chile,South America,1987,CHL,2.82329011,Closed Autocracy
93,Armenia,West Asia,2006,ARM,2.715770006,Electoral Autocracy
94,Armenia,West Asia,2007,ARM,3.018939972,Electoral Autocracy
95,Armenia,West Asia,2008,ARM,3.172729969,Electoral Autocracy
96,Armenia,West Asia,2009,ARM,3.840790033,Electoral Autocracy
97,Armenia,West Asia,2010,ARM,3.249000072,Electoral Autocracy
98,Armenia,West Asia,2011,ARM,3.143850088,Electoral Autocracy
99,Armenia,West Asia,2012,ARM,2.772480011,Electoral Autocracy
100,Armenia,West Asia,2013,ARM,2.650180101,Electoral Autocracy
101,Armenia,West Asia,2014,ARM,2.247240067,Electoral Autocracy
102,Armenia,West Asia,2015,ARM,2.80591011,Electoral Autocracy
103,Armenia,West Asia,2016,ARM,2.75812006,Electoral Autocracy
104,Armenia,West Asia,2017,ARM,2.707590103,Electoral Autocracy
182,Azerbaijan,West Asia,1992,AZE,6.057970047,Electoral Autocracy
183,Azerbaijan,West Asia,1995,AZE,3.337369919,Electoral Autocracy
184,Azerbaijan,West Asia,1996,AZE,3.512569904,Electoral Autocracy
185,Azerbaijan,West Asia,1998,AZE,3.380019903,Electoral Autocracy
186,Azerbaijan,West Asia,1999,AZE,4.212140083,Electoral Autocracy
187,Azerbaijan,West Asia,2000,AZE,3.853990078,Electoral Autocracy
188,Azerbaijan,West Asia,2001,AZE,3.503420115,Electoral Autocracy
189,Azerbaijan,West Asia,2002,AZE,3.154459953,Electoral Autocracy
190,Azerbaijan,West Asia,2003,AZE,3.286149979,Electoral Autocracy
191,Azerbaijan,West Asia,2004,AZE,3.447700024,Electoral Autocracy
192,Azerbaijan,West Asia,2005,AZE,2.974620104,Electoral Autocracy
193,Azerbaijan,West Asia,2006,AZE,2.555520058,Electoral Autocracy
194,Azerbaijan,West Asia,2007,AZE,2.549279928,Electoral Autocracy
